Id,Designator,Package,Quantity,Designation,Supplier and ref
1,U1,LQFP-64_10x10mm_Pitch0.5mm,1,STM32F405RG,
3,"D1,D4",LED-0805,2,LED,
4,D2,SMD-1206_Pol,1,D,
5,"SW2,SW1",SW_SPST_FSMSM,2,SW_PUSH,
6,U2,SOT-23-5,1,LT1761,
7,P4,USB_Mini-B,1,USB_B,
8,"C14,C16,C2,C4,C10,C12",SMD-0805,6,.1uF,
9,"C3,C1",SMD-0805,2,2.2uF,
10,C5,SMD-0805,1,4.7uF,
11,"C6,C7,C8,C9",SMD-0805,4,12pF,
12,C18,SMD-0805,1,1uF,
13,C19,SMD-0805,1,10nF,
14,C20,SMD-0805,1,10uF,
15,P1,Pin_Header_Straight_1x06,1,CONN_01X06,
16,"P2,P3",Pin_Header_Straight_2x16,2,CONN_01X32,
17,Y1,Crystal_SMD_5032,1,Crystal,
18,Y2,SMD-1206_Pol,1,Crystal,
19,"R1,R3,R7",SMD-0805,3,10k,
20,R2,SMD-0805,1,0,
21,"R4,R5",SMD-0805,2,470,
22,R6,SMD-0805,1,1k,
23,R9,SMD-0805,1,DNP,
